"M̻s","SP","MG","RJ","ES","SC","RS","PR","AL","BH","CE","MA","PB","PE","PI","RN","SE","AC","AM","PR","PA","AP","TO","MT","MS","GO","DF"
"JAN","240.00","170.00","245.00","40.00","365.00","150.00","370.00","180.00","80.00","150.00","250.00","85.00","165.00","175.00","77.00","20.00","290.00","220.00","0.00","380.00","140.00","380.00","390.00","275.00","210.00","150.00"
"FEV","110.00","215.00","235.00","300.00","120.00","120.00","95.00","150.00","60.00","215.00","520.00","140.00","115.00","330.00","220.00","78.00","470.00","340.00","0.00","680.00","200.00","350.00","460.00","120.00","385.00","275.00"
"MAR","220.00","390.00","270.00","175.00","140.00","95.00","330.00","160.00","190.00","25.00","245.00","197.00","116.00","298.00","280.00","185.00","100.00","245.00","40.00","505.00","200.00","190.00","190.00","100.00","155.00","240.00"
"ABR","30.00","15.00","120.00","370.00","70.00","105.00","25.00","400.00","240.00","190.00","488.00","370.00","480.00","30.00","288.00","150.00","360.00","225.00","180.00","400.00","510.00","250.00","140.00","70.00","225.00","225.00"
"MAI","20.00","20.00","25.00","200.00","48.00","85.00","30.00","230.00","220.00","220.00","389.00","245.00","223.00","65.00","180.00","125.00","100.00","175.00","350.00","420.00","410.00","5.00","40.00","10.00","20.00","10.00"
"JUN","20.00","0.00","20.00","145.00","60.00","150.00","0.00","285.00","170.00","50.00","104.00","110.00","140.00","15.00","252.00","215.00","40.00","190.00","370.00","120.00","210.00","0.00","2.00","5.00","0.00","0.00"
"JUL","25.00","10.00","17.00","20.00","115.00","180.00","0.00","290.00","60.00","98.00","70.00","200.00","9.00","5.00","280.00","110.00","0.00","50.00","410.00","120.00","190.00","0.00","2.00","5.00","0.00","0.00"
"AGO","50.00","35.00","70.00","90.00","70.00","125.00","50.00","70.00","63.00","22.00","20.00","75.00","105.00","3.00","45.00","32.00","140.00","20.00","105.00","200.00","90.00","5.00","10.00","20.00","25.00","20.00"
"SET","75.00","40.00","55.00","35.00","180.00","170.00","60.00","70.00","90.00","7.00","10.00","25.00","60.00","14.00","60.00","20.00","60.00","80.00","280.00","180.00","40.00","20.00","70.00","110.00","35.00","40.00"
"OUT","120.00","180.00","105.00","180.00","100.00","90.00","225.00","5.00","65.00","8.00","5.00","2.00","25.00","4.00","0.00","35.00","200.00","55.00","40.00","120.00","10.00","200.00","150.00","160.00","225.00","235.00"
"NOV","105.00","260.00","255.00","145.00","110.00","125.00","20.00","70.00","68.00","5.00","8.00","23.00","30.00","7.00","10.00","30.00","220.00","150.00","50.00","250.00","30.00","405.00","450.00","240.00","180.00","365.00"
"DEZ","190.00","280.00","135.00","170.00","150.00","60.00","120.00","80.00","149.00","120.00","205.00","52.00","70.00","370.00","65.00","20.00","290.00","350.00","10.00","440.00","410.00","240.00","260.00","80.00","180.00","175.00"
